data,temperature_moy,precipitation_mm
2023-01-01,12.2,3.4
2023-01-02,9.3,0.2
2023-01-03,9.5,1.4
2023-01-04,13.4,0.8
2023-01-05,12.3,0.0
2023-01-06,11.8,0.4
2023-01-07,10.6,6.4
2023-01-08,7.4,3.2
2023-01-09,7.2,4.0
2023-01-10,10.8,3.0
2023-01-11,11.0,0.0
2023-01-12,11.6,1.2
2023-01-13,10.2,0.2
2023-01-14,11.3,7.2
2023-01-15,7.3,11.1
2023-01-16,5.9,5.8
2023-01-17,3.3,7.3
2023-01-18,2.2,1.8
2023-01-19,2.4,0.0
2023-01-20,1.8,0.0
2023-01-21,1.8,0.0
2023-01-22,-0.5,0.0
2023-01-23,1.0,0.0
2023-01-24,2.3,0.0
2023-01-25,2.7,4.0
2023-01-26,6.2,0.2
2023-01-27,5.6,0.4
2023-01-28,4.0,0.0
2023-01-29,4.3,0.0
2023-01-30,6.9,1.8
2023-01-31,7.8,0.4
2023-02-01,8.4,0.0
2023-02-02,8.6,0.0
2023-02-03,9.1,0.0
2023-02-04,8.4,0.0
2023-02-05,7.8,0.0
2023-02-06,4.3,0.0
2023-02-07,2.5,0.0
2023-02-08,1.8,0.0
2023-02-09,3.7,0.0
2023-02-10,7.8,0.0
2023-02-11,4.9,0.0
2023-02-12,4.8,0.0
2023-02-13,5.4,0.0
2023-02-14,6.2,0.0
2023-02-15,8.3,0.0
2023-02-16,10.9,0.0
2023-02-17,12.7,0.0
2023-02-18,10.7,0.0
2023-02-19,9.8,0.0
2023-02-20,4.0,0.0
2023-02-21,5.4,0.4
2023-02-22,7.3,1.0
2023-02-23,3.9,7.5
2023-02-24,8.1,0.0
2023-02-25,6.4,0.0
2023-02-26,4.0,0.0
2023-02-27,3.5,0.0
2023-02-28,2.6,4.4
2023-03-01,2.9,0.0
2023-03-02,3.6,0.0
2023-03-03,6.7,0.0
2023-03-04,4.4,0.0
2023-03-05,5.6,0.0
2023-03-06,5.6,0.0
2023-03-07,7.5,6.1
2023-03-08,11.8,7.5
2023-03-09,12.1,3.0
2023-03-10,7.7,13.9
2023-03-11,8.3,0.4
2023-03-12,11.5,2.8
2023-03-13,13.4,1.8
2023-03-14,8.9,0.2
2023-03-15,8.3,0.0
2023-03-16,12.6,0.0
2023-03-17,12.2,5.0
2023-03-18,11.9,2.4
2023-03-19,9.6,0.0
2023-03-20,9.9,0.2
2023-03-21,12.0,0.2
2023-03-22,12.1,2.8
