Date,counts,name
2023-01-01,13.0,Rennes Rue d'Isly V1
2023-01-01,36.0,Rennes Rue d'Isly V1
2023-01-01,24.0,Rennes Rue d'Isly V1
2023-01-02,1.0,Rennes Rue d'Isly V1
2023-01-02,48.0,Rennes Rue d'Isly V1
2023-01-02,26.0,Rennes Rue d'Isly V1
2023-01-03,2.0,Rennes Rue d'Isly V1
2023-01-03,0.0,Rennes Rue d'Isly V1
2023-01-03,37.0,Rennes Rue d'Isly V1
2023-01-03,77.0,Rennes Rue d'Isly V1
2023-01-03,43.0,Rennes Rue d'Isly V1
2023-01-03,76.0,Rennes Rue d'Isly V1
2023-01-04,1.0,Rennes Rue d'Isly V1
2023-01-04,11.0,Rennes Rue d'Isly V1
2023-01-04,72.0,Rennes Rue d'Isly V1
2023-01-04,35.0,Rennes Rue d'Isly V1
2023-01-04,52.0,Rennes Rue d'Isly V1
2023-01-04,6.0,Rennes Rue d'Isly V1
2023-01-05,5.0,Rennes Rue d'Isly V1
2023-01-05,73.0,Rennes Rue d'Isly V1
2023-01-05,80.0,Rennes Rue d'Isly V1
2023-01-05,103.0,Rennes Rue d'Isly V1
2023-01-05,58.0,Rennes Rue d'Isly V1
2023-01-06,6.0,Rennes Rue d'Isly V1
2023-01-06,6.0,Rennes Rue d'Isly V1
2023-01-06,40.0,Rennes Rue d'Isly V1
2023-01-06,58.0,Rennes Rue d'Isly V1
2023-01-06,88.0,Rennes Rue d'Isly V1
2023-01-07,11.0,Rennes Rue d'Isly V1
2023-01-07,8.0,Rennes Rue d'Isly V1
2023-01-07,4.0,Rennes Rue d'Isly V1
2023-01-07,0.0,Rennes Rue d'Isly V1
2023-01-07,2.0,Rennes Rue d'Isly V1
2023-01-07,6.0,Rennes Rue d'Isly V1
2023-01-07,46.0,Rennes Rue d'Isly V1
2023-01-07,75.0,Rennes Rue d'Isly V1
2023-01-07,37.0,Rennes Rue d'Isly V1
2023-01-07,60.0,Rennes Rue d'Isly V1
2023-01-08,19.0,Rennes Rue d'Isly V1
2023-01-08,29.0,Rennes Rue d'Isly V1
2023-01-08,44.0,Rennes Rue d'Isly V1
2023-01-08,14.0,Rennes Rue d'Isly V1
2023-01-09,2.0,Rennes Rue d'Isly V1
2023-01-09,0.0,Rennes Rue d'Isly V1
2023-01-09,9.0,Rennes Rue d'Isly V1
2023-01-09,18.0,Rennes Rue d'Isly V1
2023-01-09,41.0,Rennes Rue d'Isly V1
2023-01-09,34.0,Rennes Rue d'Isly V1
2023-01-09,57.0,Rennes Rue d'Isly V1
2023-01-09,36.0,Rennes Rue d'Isly V1
2023-01-09,12.0,Rennes Rue d'Isly V1
2023-01-09,8.0,Rennes Rue d'Isly V1
2023-01-10,5.0,Rennes Rue d'Isly V1
2023-01-10,0.0,Rennes Rue d'Isly V1
2023-01-10,77.0,Rennes Rue d'Isly V1
2023-01-10,85.0,Rennes Rue d'Isly V1
2023-01-11,3.0,Rennes Rue d'Isly V1
2023-01-11,48.0,Rennes Rue d'Isly V1
2023-01-11,91.0,Rennes Rue d'Isly V1
2023-01-11,63.0,Rennes Rue d'Isly V1
2023-01-12,0.0,Rennes Rue d'Isly V1
2023-01-12,6.0,Rennes Rue d'Isly V1
2023-01-12,34.0,Rennes Rue d'Isly V1
2023-01-12,83.0,Rennes Rue d'Isly V1
2023-01-12,74.0,Rennes Rue d'Isly V1
2023-01-13,38.0,Rennes Rue d'Isly V1
2023-01-13,91.0,Rennes Rue d'Isly V1
2023-01-13,42.0,Rennes Rue d'Isly V1
2023-01-14,12.0,Rennes Rue d'Isly V1
2023-01-14,4.0,Rennes Rue d'Isly V1
2023-01-14,4.0,Rennes Rue d'Isly V1
2023-01-14,30.0,Rennes Rue d'Isly V1
2023-01-14,33.0,Rennes Rue d'Isly V1
2023-01-14,41.0,Rennes Rue d'Isly V1
2023-01-14,12.0,Rennes Rue d'Isly V1
2023-01-15,13.0,Rennes Rue d'Isly V1
2023-01-16,0.0,Rennes Rue d'Isly V1
2023-01-16,53.0,Rennes Rue d'Isly V1
2023-01-16,56.0,Rennes Rue d'Isly V1
2023-01-16,38.0,Rennes Rue d'Isly V1
2023-01-16,56.0,Rennes Rue d'Isly V1
2023-01-16,124.0,Rennes Rue d'Isly V1
2023-01-16,50.0,Rennes Rue d'Isly V1
2023-01-17,2.0,Rennes Rue d'Isly V1
2023-01-17,73.0,Rennes Rue d'Isly V1
2023-01-17,83.0,Rennes Rue d'Isly V1
